x,theta,dx,dtheta,t
0.0208738296015297,0.406469280298654,-0.0230783175403273,0.216333886689377,0.72
0.020641594514845,0.407390211655805,-0.0233745925805459,0.219103094377137,0.73
0.0204066278189458,0.408314285593806,-0.0236287010238865,0.221413534896567,0.74
0.0201693167438941,0.409237584496313,-0.0238429070602298,0.223288905072638,0.75
0.0199300157341327,0.410156544184263,-0.0240193615936175,0.224751837929483,0.76
0.0196890926531457,0.411067445959887,-0.0241602513694699,0.225825520585833,0.77
0.0194469277605489,0.411966449305802,-0.024268119089831,0.226537249425675,0.78
0.0192038312438175,0.412850489805172,-0.0243454396919733,0.226913762325573,0.79
0.0189600941408799,0.413716704541302,-0.0243945609007052,0.226980526771969,0.8
0.0187159887334941,0.414562428286081,-0.0244177037560776,0.226761727484548,0.81
