e1,e2,ed1,ed2,t,pe1,pe2,ped1,ped2
2.86E-05,0.000846932,2.93E-06,0.034619399,0.68,0.507774663,0.451080921,0.518259739,0.518243563
2.65E-05,0.000800948,2.71E-06,0.031979782,0.69,0.519697458,0.470155031,0.528889618,0.528876044
2.48E-05,0.000719098,2.55E-06,0.030149099,0.7,0.537444904,0.465448004,0.550796855,0.550785349
2.34E-05,0.000619356,2.44E-06,0.028796944,0.71,0.559405815,0.442234437,0.581122996,0.58111318
2.20E-05,0.000533257,2.32E-06,0.027428892,0.72,0.581505996,0.420111015,0.611430391,0.611422029
2.05E-05,0.000500447,2.15E-06,0.025467104,0.73,0.597093544,0.434932093,0.627206014,0.627198978
1.87E-05,0.000482707,1.95E-06,0.023050859,0.74,0.601522479,0.462807513,0.627318755,0.627312948
1.69E-05,0.000461937,1.75E-06,0.020702838,0.75,0.601611421,0.488683858,0.622632308,0.62262755
1.54E-05,0.000439179,1.58E-06,0.01870584,0.76,0.604575088,0.512724811,0.621686584,0.621682667
1.42E-05,0.000414846,1.45E-06,0.017168963,0.77,0.615426502,0.534552477,0.630515246,0.63051198
1.32E-05,0.000389251,1.36E-06,0.016057486,0.78,0.63611727,0.553675476,0.651537964,0.651535198
1.25E-05,0.000363129,1.29E-06,0.015220056,0.79,0.664572086,0.570248414,0.682264421,0.682262054
1.18E-05,0.000338128,1.22E-06,0.014413423,0.8,0.693630255,0.586280172,0.713805315,0.713803292
1.10E-05,0.000316741,1.13E-06,0.013339469,0.81,0.710404656,0.606409741,0.72996088,0.729959183
9.95E-06,0.000294493,1.02E-06,0.012057838,0.82,0.712366602,0.622622225,0.729217912,0.729216518
8.97E-06,0.000271978,9.16E-07,0.010823547,0.83,0.709517248,0.635064198,0.723452998,0.723451861
8.12E-06,0.000251314,8.26E-07,0.009768056,0.84,0.710035191,0.648124463,0.721586274,0.721585343
7.45E-06,0.000233328,7.56E-07,0.008940999,0.85,0.719635933,0.664625127,0.72990167,0.729900897
6.94E-06,0.000217894,7.04E-07,0.00832405,0.86,0.740532747,0.685525049,0.750859871,0.75085922
6.53E-06,0.000204234,6.64E-07,0.007843501,0.87,0.770234717,0.709711729,0.781698806,0.781698251
6.14E-06,0.000191212,6.24E-07,0.007381659,0.88,0.800182743,0.733939587,0.812811785,0.812811313
5.66E-06,0.000177554,5.75E-07,0.006797834,0.89,0.815262868,0.752847203,0.827158326,0.827157932
5.13E-06,0.000162786,5.19E-07,0.00613505,0.9,0.815131697,0.762569823,0.82507274,0.825072418
4.61E-06,0.000148486,4.66E-07,0.005507344,0.91,0.810759758,0.768537591,0.818640393,0.81864013
4.17E-06,0.000135738,4.21E-07,0.004971415,0.92,0.810452818,0.776251332,0.816750919,0.816750704
3.82E-06,0.00012492,3.85E-07,0.004546816,0.93,0.819893277,0.78929233,0.825525151,0.825524973
3.55E-06,0.000115869,3.57E-07,0.004222261,0.94,0.841040165,0.808839813,0.847084635,0.847084485
3.32E-06,0.000108041,3.35E-07,0.003961356,0.95,0.870852646,0.833223399,0.878100171,0.878100044
3.11E-06,0.000100648,3.14E-07,0.003707771,0.96,0.899834652,0.857557295,0.908107031,0.908106924
2.86E-06,9.29E-05,2.88E-07,0.003404687,0.97,0.913897865,0.874943493,0.921507641,0.921507552
2.61E-06,8.55E-05,2.63E-07,0.003109759,0.98,0.923540986,0.889368659,0.930181547,0.930181474
2.39E-06,7.86E-05,2.40E-07,0.002841289,0.99,0.933386859,0.903159352,0.939236229,0.939236168
2.18E-06,7.21E-05,2.20E-07,0.002595877,1,0.943148761,0.916250207,0.948336543,0.948336492
