err,err_k,t,t_k,p,q,r
0.0352026636664378,0.000143074555675637,4.13154854353626,9.19191919191919,-4.24E-16,0.0991886449630845,-8.40E-18
0.0320393469189919,0.000128368593841355,4.22106279518542,9.29292929292929,-1.96E-15,0.0946585320364022,-5.34E-17
0.0293826390342058,0.000115174174270427,4.30321419462348,9.39393939393939,5.61E-16,0.0905751191478236,-2.83E-17
0.0269469091727654,0.000103335936950888,4.38536559406155,9.4949494949495,1.54E-15,0.0867034259128334,-1.53E-17
0.0247150209971281,9.27E-05,4.46751699349961,9.5959595959596,-4.79E-16,0.0830686883198696,-1.48E-17
0.0226674525616826,8.32E-05,4.54966839293767,9.6969696969697,-1.86E-15,0.0795759956898965,-1.30E-17
0.0208876455151672,7.46E-05,4.62724381807284,9.7979797979798,-2.16E-16,0.0763445241318633,-4.30E-18
0.0192479596304265,6.70E-05,4.70481924320801,9.8989898989899,4.96E-16,0.0732643048465969,-1.11E-18
0.0177378509983452,6.01E-05,4.78239466834319,10,-2.89E-16,0.0703450331402043,-3.06E-18
0.0163460345412148,,4.85997009347836,,-8.63E-16,0.0675382024966204,-3.99E-18
0.0150069108293414,,4.94104680655704,,8.72E-16,0.0646858404012842,-3.32E-17
0.0137777045902108,,5.02212351963573,,1.52E-15,0.0619661253923354,-4.76E-17
0.0126496854132168,,5.10320023271441,,-3.01E-16,0.0593847347512924,-6.72E-18
0.0116139294262647,,5.1842769457931,,-1.52E-15,0.0569076204399532,2.51E-17
0.0105728568797507,,5.27334579228766,,9.84E-16,0.0542724850439662,-2.46E-17
0.00962532682239159,,5.36241463878222,,1.92E-15,0.0517714284866152,-4.48E-17
0.00876323695711756,,5.45148348527678,,-3.48E-16,0.0494126531523852,2.15E-18
0.00797829697241426,,5.54055233177134,,-1.90E-15,0.047156184600668,3.49E-17
0.0072390863736207,,5.63274898759552,,4.68E-16,0.0448876830191407,-4.03E-17
0.00656864832875215,,5.7249456434197,,1.35E-15,0.0427445665013476,-6.53E-17
0.00596093829005984,,5.81714229924388,,-4.92E-16,0.0407416165676427,1.67E-17
0.00540940121422273,,5.90933895506807,,-1.67E-15,0.0388246213060494,6.67E-17
0.00494055352406009,,5.9953124604892,,4.34E-16,0.0370720589275567,-3.47E-17
0.00451260198495396,,6.08128596591035,,1.22E-15,0.0354151220365064,-7.21E-17
0.00412223170685078,,6.16725947133148,,-4.30E-16,0.0338674991704725,1.72E-17
0.00376562456708762,,6.25323297675262,,-1.42E-15,0.0323814667374171,7.45E-17
0.00346779704104017,,6.3314217062228,,3.95E-16,0.0310525437080684,-1.30E-17
0.00319368544285847,,6.40961043569298,,1.06E-15,0.0297883722862481,-4.75E-17
0.00294149853705106,,6.48779916516316,,-2.87E-16,0.0285945354034158,1.32E-17
